time,yo,
9.501,725,
9.508,724,
9.515,730,
9.522,723,
9.529,728,
9.537,732,
9.544,725,
9.551,729,
9.558,735,
9.565,730,
9.572,736,
9.579,734,
9.587,733,
9.594,736,
9.601,735,
9.608,733,
9.615,741,
9.622,735,
9.629,735,
9.637,743,
9.644,737,
9.651,739,
9.658,743,
9.665,736,
9.672,740,
9.679,742,
9.687,738,
9.694,745,
9.701,743,
9.708,740,
9.715,747,
9.722,743,
9.729,740,
9.737,736,
9.744,734,
9.751,726,
9.758,740,
9.765,728,
9.772,729,
9.779,727,
9.787,732,
9.794,733,
9.801,731,
9.808,738,
9.815,735,
9.822,731,
9.83,740,
9.837,733,
9.844,731,
9.851,739,
9.858,734,
9.865,737,
9.872,743,
9.879,731,
9.887,734,
9.894,740,
9.901,729,
9.908,740,
9.915,735,
9.922,732,
9.93,740,
9.937,741,
9.944,736,
9.951,744,
9.958,737,
9.965,738,
9.972,743,
9.98,737,
9.987,734,
9.994,741,
10.001,729,
10.008,736,
10.015,734,
10.022,732,
10.03,735,
10.037,731,
10.044,729,
10.051,743,
10.058,768,
10.065,801,
10.072,822,
10.079,796,
10.093,727,
10.094,727,
10.101,719,
10.108,726,
10.115,730,
10.122,723,
10.129,723,
10.137,728,
10.144,724,
10.151,731,
10.158,729,
10.165,730,
10.172,730,
10.18,734,
10.187,729,
10.194,736,
10.201,730,
10.208,733,
10.215,737,
10.222,732,
10.23,734,
10.237,738,
10.244,731,
10.251,738,
10.258,738,
10.265,733,
10.272,744,
10.279,738,
10.287,739,
10.294,749,
10.301,744,
10.308,750,
10.315,741,
10.322,740,
10.329,748,
10.337,741,
10.344,744,
10.351,741,
10.358,733,
10.365,736,
10.372,737,
10.379,733,
10.387,737,
10.394,730,
10.401,726,
10.408,736,
10.415,733,
10.422,734,
10.429,741,
10.437,728,
10.444,729,
10.451,741,
10.458,731,
10.465,734,
10.472,735,
10.479,730,
10.487,735,
10.494,735,
10.501,727,
10.508,740,
10.515,735,
10.522,733,
10.529,739,
10.537,730,
10.544,733,
10.551,742,
10.558,730,
